,AUS: Australia,AUT: Austria,BEL: Belgium,CAN: Canada,CHL: Chile,COL: Colombia,CZE: Czech Republic,DNK: Denmark,EST: Estonia,FIN: Finland,FRA: France,DEU: Germany,GRC: Greece,HUN: Hungary,ISL: Iceland,IRL: Ireland,ISR: Israel,ITA: Italy,JPN: Japan,KOR: Korea,LVA: Latvia,LTU: Lithuania,LUX: Luxembourg,MEX: Mexico,NLD: Netherlands,NZL: New Zealand,NOR: Norway,POL: Poland,PRT: Portugal,SVK: Slovak Republic,SVN: Slovenia,ESP: Spain,SWE: Sweden,CHE: Switzerland,TUR: Turkey,GBR: United Kingdom,USA: United States
HUN: Hungary,561438.422,5642630.741,3043331.304,252770.157,79115.667,102132.553,5239907.624,873502.418,108876.834,430467.477,5281012.382,33827808.5,564716.988,..,13440.203,305083.429,378012.777,6271731.82,699851.957,378109.24,214295.579,260182.438,112147.895,867594.853,4239196.663,73067.275,197541.582,5175806.226,617760.393,6405978.765,1315322.87,3554374.348,1738499.608,1220086.183,1932614.693,4025510.627,3419215.158
ISL: Iceland,13951.792,1616.733,77439.634,225302.992,7232.316,447.811,3425.308,121857.486,1114.022,5583.13,370054.184,309285.848,4963.699,37003.414,..,18005.505,795.756,33891.737,62853.099,12407.581,8580.614,44265.489,1391.87,1302.876,1373893.052,14004.691,201970.832,110433.657,96555.629,6828.866,237.482,495357.615,30730.755,17428.79,20096.008,543630.84,380482.439
IRL: Ireland,869153.624,465624.694,17358579.23,1724433.027,90185.773,180820,628636.715,740842,21194.223,309923.319,6094622.257,15221004.29,941662.702,365594.115,101877.088,..,355899.321,4349518.495,3161327.924,595679.862,84158.662,40256.505,92494.999,1719504.057,9654247.177,101079.312,257795.756,1323124.33,470150.001,104384.627,128043.99,2638469.075,1053198.001,6190188.565,730074.553,17655483.78,52573541.56
ISR: Israel,503372,73280,1636870,625107,132091,86549,135211,94084,9826,50416,1545605,1671156,442560,128497,2336,86017,..,949748,876599,706440,28184,36265,12622,351810,2176035,79579,57141,509892,97847,17553,336786,987876,130043,1073201,1757418,4992268,15958882
ITA: Italy,4488601.238,11487550.98,15742248.79,5037413.395,1199146.374,750688.457,7243109.029,3254652.595,517561.083,1938165.366,55776883.43,65055849.8,5082978.305,5397355.131,120367.492,2004994.58,2862086.491,..,8664416.614,5450316.495,614433.537,1083239.735,709076.991,4365365.582,13254198.3,638713.91,2108399.019,14873322.8,4823164.186,3474019.597,4936845.104,26897312.41,5595594.2,29193048.15,9329286.425,27891600.74,51041709.36
JPN: Japan,14491212.4,1220609.519,7448680.963,8876438.942,2046080.504,1124972.903,1598990.008,554477.35,189144.908,464978.775,6842848.215,20227424.65,571479.72,1697213.352,55250.052,908647.001,1666056.525,4599577.895,..,46269029.21,53146.614,65056.54,469090.162,10638399.5,11912833.9,2329993.951,979481.709,2875110.185,470219.615,222714.651,167923.169,3403246.595,1461633.448,4096533.727,2513961.072,13881612.44,140428150.3
KOR: Korea,7890430.129,864802.466,2707099.368,5567578.712,1214355.761,1143074.599,2114044.302,447817.1,90659.054,308176.568,3392058.041,8685311.599,1639553.477,2477567.392,98414.65,650050.463,1426030.176,3773364.654,28420167.96,..,70076.659,344278.357,24619.442,10927015.74,4243100.597,1391888.261,1801975.747,5314948.397,504686.082,2314661.647,1787939.592,2769853.205,1070505.06,602331.034,5297808.205,5539086.553,73598903.63
LVA: Latvia,19859.156,81942.445,168924.729,27152.519,5022.689,3859.958,187703.951,619564.664,1689465.574,357773.228,275800.78,1045696.669,24758.467,72309.323,34042.238,59092.755,34002.316,215117.312,62804.248,79361.713,..,2474565.96,9348.086,13656.288,390156.957,8117.376,327058.575,522463.559,29097.848,70743.963,23388.106,198953.159,955304.154,50930.597,177793.182,813140.088,228960.906
LTU: Lithuania,61671.227,240716.735,621354.287,169854.903,15765.601,3262.269,379805.869,806428.401,1696765.859,592354.215,833600.412,2517203.553,57063.879,220866.763,52281.804,120149.973,78499.448,742496.216,202658.922,68446.263,3162185.364,..,13616.968,24795.498,1203416.485,14121.661,914164.779,2612414.257,80212.628,106861.788,48857.677,354485.315,1478223.067,172065.377,267851.699,1257644.03,1230722.444
LUX: Luxembourg,27037.584,275177.338,1787735.864,105008.958,16422.645,6678.428,163879.843,94444.665,11338.567,62991.363,2331954.668,3734965.538,24561.196,89482.388,5099.868,105604.15,31115.006,608452.316,93784.531,68911.693,7671.339,34317.665,..,47422.39,807999.328,3732.926,72596.908,380618.058,87356.919,56292.667,39887.803,359168.188,203891.651,188043.365,162111.345,506237.857,447300.182
MEX: Mexico,964401.101,176626.778,1446468.624,14258677.91,1593735.788,3498664.52,314345.073,151307.298,8240.661,150578.102,1597978.775,7094314.883,40891.197,260863.633,5450.46,330536.404,241654.106,1506959.462,3939145.171,2213942.252,23736.656,3375.752,28747.244,..,2114329.641,121029.612,65441.51,342420.731,80742.345,57678.788,10875.772,1388283.926,88305.216,706027.428,375222.203,2817779.762,358660831.9
NLD: Netherlands,3639865.968,7013139.08,58276373.5,4862894.585,707267.71,469962.144,8874932.743,6982578.812,956150.156,5130299.708,45054665.6,128001847.7,2738722.009,4813288.185,801386.156,5014744.295,2027761.538,22911086.92,5071231.502,4898733.218,668230.805,1357756.526,1617555.182,2822520.55,..,707758.639,5456657.101,15118007.43,3734155.67,1816318.351,1048198.248,17507836.67,10999328,7818780.991,6314116.531,44606956.63,29803576.08
NZL: New Zealand,5741384.357,18327.256,159245.923,480730.756,97783.339,9643.282,27939.579,79948.962,3221.089,10404.342,243958.098,560890.088,39459.674,5534.082,1583.356,46460.25,25358.746,188947.075,2310721.537,1112255.301,11459.863,10182.833,700.471,231484.51,502005.792,..,36271.236,53308.618,20561.822,6155.889,1629.499,90109.505,54462.057,106542.721,84077.464,980171.153,3717726.019
NOR: Norway,191089.65,324335.909,4361004.176,873413.116,114961.202,24993.635,235516.475,4662759.135,187851.06,1469677.826,6179485.901,15056588.8,207198.293,85018.303,665680.999,743309.621,212186.663,1424598.261,1214311.428,1163023.53,129312.001,673070.475,40642.75,156914.861,11548883.31,56657.678,..,2407338.371,708509.428,64668.593,13212.743,2357280.179,7988391.057,339520.596,830726.634,20949493.69,4481684.795
POL: Poland,685570.023,5376834.711,5924986.838,1546750.04,153641.994,85220.909,15503205.75,4043878.629,1207684.762,2046694.098,14630816.13,69224851.57,1048480.678,6979330.533,183302.421,1015941.43,683318.817,11653917.06,719966.41,669617.985,1523334.355,3788623.012,419339.462,755510.199,11029533.03,158102.585,2898970.776,..,1206727.448,6575953.128,941918.803,6536537.408,6955985.909,2281546.753,2045926.104,15236621.57,7333774.224
PRT: Portugal,147494.756,587838.063,1533896.012,671797.295,126986.951,57751.903,440063.731,515116.331,34896.339,378649.596,8672151.143,8040834.495,257887.962,328425.206,8742.097,463432.049,256180.362,3003655.574,169327.678,112745.856,56651.719,89098.58,127635.586,360198.295,2620844.821,27442.289,221493.114,874506.175,..,469333.666,141048.848,16582016.94,665213.759,697152.2,622285.541,4062654.329,3399184.422
SVK: Slovak Republic,314470.793,5062766.343,1206897.82,249984.205,48609.895,84557.892,9898052.486,714388.581,127228.487,280193.306,6285553.048,19789603.86,489902.294,5766078.776,11109.251,150526.249,307554.094,4166025.57,194170.73,397103.939,167999.103,217496.946,121482.618,294305.465,1869389.213,37992.055,178705.401,6729661.18,316786.255,..,699896.212,2534989.084,1224412.493,1333251.554,607854.899,4378055.687,2819835.226
SVN: Slovenia,107578.882,2545584.796,466987.054,105275.751,22629.319,16072.429,814984.089,367992.918,77013.037,104969.649,2044518.521,7086588.322,107981.043,1034647.778,5979.564,60146.565,65070.052,4341336.661,88558.989,75956.299,36179.68,106794.286,23470.821,85766.293,654872.394,12806.612,97696.371,1105599.605,144341.351,600427.416,..,651041.548,405925.287,2549609.778,336931.362,658653.863,660754.018
ESP: Spain,1748923.829,2636847.97,9282706.615,2270077.854,1789737.565,1148826.23,2834564.607,1978558.993,263779.103,1005878.458,49138802.97,34767304.64,2774876.74,2024301.226,101513.658,1856097.56,1715912.662,25988832.13,3050374.941,2527271.58,292522.382,460734.112,376151.676,4809151.789,11004431.76,265678.599,1307703.807,6920098.454,24523329.1,1291392.765,677707.98,..,2727044.222,5637140.041,4999307.776,22016845.64,15383386.54
SWE: Sweden,1759314.334,1526643.354,6287297.931,1209578.757,367395.93,135990.366,1329042.149,11069419.32,1340525.754,11446304.18,6344127.874,16429937.87,367016.813,682953.259,359394.282,516621.138,329286.978,4310831.785,2566694.091,1459742.112,550387.426,1147292.487,111865.713,749946.928,8335939.968,166445.803,16985987.53,5146134.559,798458.286,455334.849,212632.12,3150621.709,..,1796999.753,1359058.19,8426162.897,12246884.36
CHE: Switzerland,2617447.969,6391528.088,5473759.921,4471133.974,371022.256,571647.378,1852402.671,1213220.413,187171.321,638940.811,19382378.57,47900111.2,757242.262,1054659.545,73627.265,1059910.772,1191382.546,16169845.67,8103032.147,3679466.327,134457.962,143331.073,383480.959,1443137.381,6079733.004,208005.697,667741.903,2685189.221,1149224.829,621841.16,3288581.189,7880977.59,1697869.712,..,3361968.493,28306935.33,43852848.05
TUR: Turkey,661145.948,1183798.948,3396324.08,985966.388,356982.172,255910.893,1112601.506,1038928.628,90417.681,334914.825,7952061.097,16617492.23,2245332.71,1423206.068,23440.524,619994.687,4463830.959,9753403.29,502850.599,943829.784,126578.65,258331.622,70732.821,668355.982,5761792.372,112908.095,729178.837,3448859.425,1147015.166,598836.395,1843315.618,8139094.146,1432267.647,1042018.388,..,11278995.69,8978403.489
GBR: United Kingdom,5529035.569,2379690.85,16477741.05,6726910.779,889397.977,689873.881,2808673.878,3403005.945,322307.333,1664740.057,31361516.17,46352025.71,1305290.061,1695574.76,386077.075,27795976.12,1870623.157,12713795.12,8340854.91,4804211.427,493685.28,668943.769,302610.183,1804664.468,30377934.09,1071856.59,4668665.305,6780806.934,2007475.781,1368019.318,356161.27,13675880.25,6368886.505,15618473.21,6415542.05,..,73528704.69
USA: United States,26018549.25,5724687.376,34768383.04,292338433.4,15776197.12,14780136.22,2790143.078,3159795.204,364907.047,1763243.723,38751856.5,59797035.62,1443537.6,1917525.428,555006.689,9030509.02,14376607.47,23788415.9,74650662.38,56894210.75,541501.236,933503.408,1922451.851,256371086.5,51225636.6,3945406.275,3877042.991,5952142.837,1722352.625,387819.591,344515.169,15101338.41,4354703.1,17859091.32,10044692.65,69100919.87,..
